sentence_id	tokens	pos	c_vs_ne	predictions
55705165.21	['Commander', 'Donald', 'S.', 'Jones', ',', 'who', 'would', 'later', 'command', 'the', 'United', 'States', 'Third', 'Fleet', ',', 'piloted', 'Helicopter', '66', 'during', 'its', 'inaugural', 'astronaut', 'recovery', 'mission', 'following', 'Apollo', '8', ',', 'and', 'again', 'during', 'the', 'Apollo', '11', 'recovery', 'of', 'command', 'module', 'Columbia', '.']	['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'ADV', 'VERB', 'DET', 'VERB', 'PROPN', 'ADJ', 'PROPN', 'PUNCT', 'VERB', 'PROPN', 'NUM', 'ADP', 'PRON', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'NUM', 'PUNCT', 'CCONJ', 'ADV', 'ADP', 'DET', 'PROPN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PROPN', 'PUNCT']	['O', 'NE', 'NE', 'NE', 'O', 'O', 'O', 'O', 'O', 'O', 'NE', 'NE', 'NE', 'NE', 'O', 'O', 'NE', 'NE', 'O', 'O', 'O', 'C', 'C', 'C', 'O', 'NE', 'NE', 'O', 'O', 'O', 'O', 'O', 'NE', 'NE', 'C', 'O', 'C', 'NE', 'NE', 'O']	['B-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ARTIFACT', 'I-ARTIFACT', 'O', 'O', 'O', 'B-PER', 'B-EVENT', 'I-EVENT', 'O', 'B-ARTIFACT', 'I-ARTIFACT', 'O', 'O', 'O', 'O', 'O', 'B-ARTIFACT', 'I-ARTIFACT', 'I-ARTIFACT', 'O', 'B-STRUCT', 'B-ARTIFACT', 'B-LOC', 'O']
515343.236	['Based', 'on', 'the', 'geology', 'of', 'deposits', 'like', 'the', 'Red', 'Beds', ',', 'the', 'fauna', 'is', 'thought', 'to', 'have', 'inhabited', 'a', 'well', '-', 'vegetated', 'lowland', 'deltaic', 'ecosystem', '.']	['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'PART', 'AUX', 'VERB', 'DET', 'ADV', 'PUNCT', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'C', 'O', 'C', 'O', 'O', 'NE', 'NE', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'C', 'C', 'O']	['O', 'O', 'O', 'B-DISCIPLINE', 'O', 'B-SUBSTANCE', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'B-GROUP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GROUP', 'O']
3748536.116	['Once', 'the', 'locations', 'were', 'finalised', ',', 'the', 'team', 'of', 'Lovleen', 'Bains', 'and', 'Arjun', 'Bhasin', 'was', 'chosen', 'for', 'designing', 'the', 'look', 'of', 'Rang', 'De', 'Basanti', '.']	['SCONJ', 'DET', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'AUX', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']	['O', 'O', 'C', 'O', 'O', 'O', 'O', 'C', 'O', 'NE', 'NE', 'O', 'NE', 'NE', 'O', 'O', 'O', 'O', 'O', 'C', 'O', 'NE', 'NE', 'NE', 'O']	['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-GROUP', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PROPERTY', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']
2109092.62	['According', 'to', 'tradition', ',', 'the', 'war', 'was', 'caused', 'by', 'a', 'conflict', 'about', 'the', 'Lelantine', 'Plain', '.']	['VERB', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']	['O', 'O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'C', 'O', 'O', 'NE', 'NE', 'O']	['O', 'O', 'B-PSYCH', 'O', 'O', 'B-EVENT', 'O', 'O', 'O', 'O', 'B-EVENT', 'O', 'O', 'B-LOC', 'I-LOC', 'O']
250046.138	['There', 'are', 'normally', 'four', 'or', 'five', 'eggs', 'that', 'are', 'ovoid', 'in', 'shape', 'and', 'pale', 'blue', 'or', 'occasionally', 'white', ',', 'and', 'they', 'commonly', 'have', 'a', 'glossy', 'appearance', '.']	['PRON', 'VERB', 'ADV', 'NUM', 'CCONJ', 'NUM', 'NOUN', 'PRON', 'AUX', 'ADJ', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'ADJ', 'CCONJ', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'C', 'O', 'C', 'C', 'O', 'O', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'C', 'O']	['O', 'O', 'O', 'B-MEASURE', 'O', 'B-MEASURE', 'B-BIOLOGY', 'O', 'O', 'B-PROPERTY', 'O', 'B-PROPERTY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROPERTY', 'O']
63402.17	['The', 'family', 'settled', 'in', 'her', 'childhood', 'home', 'in', 'Rossland', ',', 'British', 'Columbia', ',', 'and', 'later', 'moved', 'to', 'Ottawa', '.']	['DET', 'NOUN', 'VERB', 'ADP', 'PRON', 'NOUN', 'ADV', 'ADP', 'PROPN', 'PUNCT', 'ADJ', 'PROPN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'ADP', 'PROPN', 'PUNCT']	['O', 'C', 'O', 'O', 'O', 'C', 'C', 'O', 'NE', 'NE', 'NE', 'NE', 'O', 'O', 'O', 'O', 'O', 'NE', 'O']	['O', 'B-GROUP', 'O', 'O', 'O', 'B-MEASURE', 'B-STRUCT', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']
214109.77	['The', 'Ottoman', 'force', 'prepared', 'to', 'repel', 'a', 'landing', 'on', 'either', 'side', 'of', 'the', 'Straits', 'was', 'the', '5th', 'Army', '.']	['DET', 'ADJ', 'NOUN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'AUX', 'DET', 'ADJ', 'PROPN', 'PUNCT']	['O', 'NE', 'NE', 'O', 'O', 'O', 'O', 'C', 'O', 'O', 'C', 'O', 'O', 'NE', 'O', 'O', 'NE', 'NE', 'O']	['O', 'B-GROUP', 'I-GROUP', 'O', 'O', 'O', 'O', 'B-EVENT', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'O']
71305.16	['Cyanide', 'prevents', 'the', 'cell', 'from', 'producing', 'adenosine', 'triphosphate', '(', 'ATP', ')', 'by', 'binding', 'to', 'one', 'of', 'the', 'proteins', 'involved', 'in', 'the', 'electron', 'transport', 'chain', '.']	['NOUN', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'SCONJ', 'VERB', 'ADP', 'NUM', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']	['C', 'O', 'O', 'C', 'O', 'O', 'C', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'C', 'C', 'C', 'O']	['B-SUBSTANCE', 'O', 'O', 'B-BIOLOGY', 'O', 'O', 'B-SUBSTANCE', 'I-SUBSTANCE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MEASURE', 'O', 'O', 'B-BIOLOGY', 'O', 'O', 'O', 'B-BIOLOGY', 'I-BIOLOGY', 'I-BIOLOGY', 'O']
4956346.27	"['The', 'majority', 'of', 'the', 'main', 'cast', 'appeared', 'as', 'guest', 'stars', 'in', 'episodes', 'of', 'one', 'or', 'both', 'of', 'Michael', 'Mann', ""'s"", 'two', 'shows', 'produced', 'in', 'the', '1980s', ',', 'Miami', 'Vice', 'and', 'Crime', 'Story', '.']"	['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'CCONJ', 'DET', 'ADP', 'PROPN', 'PROPN', 'PART', 'NUM', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT']	['O', 'C', 'O', 'O', 'O', 'C', 'O', 'O', 'C', 'C', 'O', 'C', 'O', 'C', 'O', 'O', 'O', 'NE', 'NE', 'NE', 'C', 'C', 'O', 'O', 'C', 'C', 'O', 'NE', 'NE', 'O', 'NE', 'NE', 'O']	['O', 'B-MEASURE', 'O', 'O', 'O', 'B-GROUP', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-MEDIA', 'O', 'B-MEASURE', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-MEASURE', 'B-EVENT', 'O', 'O', 'B-DATETIME', 'I-DATETIME', 'O', 'B-MEDIA', 'I-MEDIA', 'I-MEDIA', 'I-MEDIA', 'I-MEDIA', 'O']
191172.214	"['An', 'expedition', 'led', 'by', 'the', 'marine', 'archaeologist', 'Mensun', 'Bound', 'searching', 'for', 'the', 'ships', 'of', 'Spee', ""'s"", 'squadron', 'began', 'in', '2014', ',', 'but', 'had', 'no', 'success', '.']"	['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PART', 'NOUN', 'VERB', 'ADP', 'NUM', 'PUNCT', 'CCONJ', 'VERB', 'DET', 'NOUN', 'PUNCT']	['O', 'C', 'O', 'O', 'O', 'O', 'NE', 'NE', 'NE', 'O', 'O', 'O', 'C', 'O', 'NE', 'O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'C', 'O']	['O', 'B-GROUP', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'B-ARTIFACT', 'O', 'B-PER', 'O', 'B-GROUP', 'O', 'O', 'B-DATETIME', 'O', 'O', 'O', 'O', 'B-EVENT', 'O']
